GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0400000US36,36,New York,0500000US36079,36079,New York - Putnam County,Putnam County,99710,38224,246.25,15.94,230.31,432.9,166.0
0400000US36,36,New York,0500000US36081,36081,New York - Queens County,Queens County,2230722,835127,178.21,69.68,108.53,20553.6,7694.7
0400000US36,36,New York,0500000US36083,36083,New York - Rensselaer County,Rensselaer County,159429,71475,665.39,12.96,652.43,244.4,109.6
0400000US36,36,New York,0500000US36085,36085,New York - Richmond County,Richmond County,468730,176656,102.29,43.92,58.37,8030.3,3026.5
0400000US36,36,New York,0500000US36087,36087,New York - Rockland County,Rockland County,311687,104057,199.34,25.79,173.55,1795.9,599.6
0400000US36,36,New York,0500000US36089,36089,New York - St. Lawrence County,St. Lawrence County,111944,52133,2821.44,141.06,2680.38,41.8,19.4
0400000US36,36,New York,0500000US36091,36091,New York - Saratoga County,Saratoga County,219607,98656,843.81,33.82,809.98,271.1,121.8
0400000US36,36,New York,0500000US36093,36093,New York - Schenectady County,Schenectady County,154727,68196,209.39,4.87,204.52,756.6,333.5
0400000US36,36,New York,0500000US36095,36095,New York - Schoharie County,Schoharie County,32749,17231,626.33,4.51,621.82,52.7,27.7
0400000US36,36,New York,0500000US36097,36097,New York - Schuyler County,Schuyler County,18343,9455,342.33,13.99,328.33,55.9,28.8
0400000US36,36,New York,0500000US36099,36099,New York - Seneca County,Seneca County,35251,16043,390.44,66.73,323.71,108.9,49.6
0400000US36,36,New York,0500000US36101,36101,New York - Steuben County,Steuben County,98990,48875,1404.08,13.52,1390.56,71.2,35.1
0400000US36,36,New York,0500000US36103,36103,New York - Suffolk County,Suffolk County,1493350,569985,2373.13,1461.08,912.05,1637.4,624.9
0400000US36,36,New York,0500000US36105,36105,New York - Sullivan County,Sullivan County,77547,49186,996.72,28.59,968.13,80.1,50.8
0400000US36,36,New York,0500000US36107,36107,New York - Tioga County,Tioga County,51125,22203,522.88,4.28,518.60,98.6,42.8
0400000US36,36,New York,0500000US36109,36109,New York - Tompkins County,Tompkins County,101564,41674,491.56,16.91,474.65,214.0,87.8
0400000US36,36,New York,0500000US36111,36111,New York - Ulster County,Ulster County,182493,83638,1160.76,36.53,1124.24,162.3,74.4
0400000US36,36,New York,0500000US36113,36113,New York - Warren County,Warren County,65707,38726,931.60,64.65,866.95,75.8,44.7
0400000US36,36,New York,0500000US36115,36115,New York - Washington County,Washington County,63216,28844,845.89,14.70,831.18,76.1,34.7
0400000US36,36,New York,0500000US36117,36117,New York - Wayne County,Wayne County,93772,41057,1383.05,779.22,603.83,155.3,68.0
0400000US36,36,New York,0500000US36119,36119,New York - Westchester County,Westchester County,949113,370821,500.00,69.50,430.50,2204.7,861.4
0400000US36,36,New York,0500000US36121,36121,New York - Wyoming County,Wyoming County,42155,17970,596.29,3.54,592.75,71.1,30.3
0400000US36,36,New York,0500000US36123,36123,New York - Yates County,Yates County,25348,13491,375.79,37.65,338.14,75.0,39.9
